name,permalink,perfect_match,schools,school_subjects,job_titles,founded_on,location,undisclosed_amount,fund 0,categories,fund 1,fund 2,fund 3,fund 4,fund 5,fund 6,fund 7,fund 8,fund 9,fund 10,fund 11,fund 12,fund 13,fund 14,fund 15,fund 16,fund 17,fund 18,fund 19,fund 20,fund 21,fund 22,fund 23,fund 24,fund 25,num_fund_rounds
TravelBoss,travelboss,no,virginia-tech,Computer Science,"Advisor, Advisor, Co-Founder and Vice President of Customer Solutions, Advisor, CEO & Co-Founder, Advisor, Advisory Board, Member of the Advisory Board",2017,"Austin, Texas",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Trend,trend,no,,,"Host of DTC POD, CEO",2017,"Austin, Texas",yes,0,"Advertising Platforms, Content Delivery Network, Content Marketing, Social Media Marketing",0,2018:150000,,,,,,,,,,,,,,,,,,,,,,,,3
Trip Loop,trip-loop,no,,,,2017,"Austin, Texas",no,2018:130000,"Adventure Travel, SaaS, Software, Tourism, Travel",,,,,,,,,,,,,,,,,,,,,,,,,,1
"Trustgrid, Inc.",trustgrid-inc,no,,,,2017,"Austin, Texas",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Ultra Auth,deauthorized,no,"freeman-school-of-business, texas-a-m-university","Finance, Economics Major, Business Minor","CEO & Founder, CEO, Engineer, Sales",2017,"Austin, Texas",no,2017:40000,"Biometrics, Cyber Security, Identity Management, Information Technology, SaaS, Software",,,,,,,,,,,,,,,,,,,,,,,,,,1
Unchained Capital,unchained-capital,no,,,"Co-Founder & CEO, Director & Senior Principal, Co-President",2017,"Austin, Texas",yes,2021:25000000,"Bitcoin, Blockchain, Cryptocurrency, Financial Services, FinTech",2021:5500000,0,2018:3000000,,,,,,,,,,,,,,,,,,,,,,,4
"Velocity Vue, Incorporated",velocity-vue-incorporated,no,,,,2017,"Austin, Texas",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Vertalo,vertalo,no,university-of-california-berkeley,Mathematics,"CTO & Co-Founder, CTO & Co-Founder, President",2017,"Austin, Texas",yes,2021:5000000,"Blockchain, Financial Services, FinTech, SaaS, Software",0,0,2019:2500000,2018:250000,,,,,,,,,,,,,,,,,,,,,,5
Vertify,vertify,no,american-university,MBA/Mgmt of Global Technology,Co-Founder & CEO,2017,"Austin, Texas",no,2020:500000,"Analytics, Data Integration, Marketing Automation, Predictive Analytics",2019:2000000,2019:160000,,,,,,,,,,,,,,,,,,,,,,,,3
Videosyne,videosyne,no,,,,2017,"Austin, Texas",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Vision Gaming,vision-gaming,no,,,,2017,"Austin, Texas",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Volt480,volt480,no,,,,2017,"Austin, Texas",yes,0,"Education, Information Technology, Software",,,,,,,,,,,,,,,,,,,,,,,,,,1
Vytalyx,vytalyx-inc,no,,,CEO,2017,"Austin, Texas",yes,0,"Artificial Intelligence, Big Data, Health Care, Machine Learning, Personal Health, Personalization",0,0,,,,,,,,,,,,,,,,,,,,,,,,3
