permalink+accelerator,permalink,cohort_year,accelerator,founders
3ten8@TheAlchemistAccelerator,3ten8,2014,TheAlchemistAccelerator,"Elica Rahdar, Miro Salem, Naresh Guntupalli"
43-layers@500startups,43-layers,2015,500startups,"BJ Terry, Emerson Knapp, TJ Ross"
itrp-institute@TheAlchemistAccelerator,itrp-institute,2017,TheAlchemistAccelerator,"Cor Winkler Prins, Laurens Pit, Mathijs Sterk"
500friends@y combinator,500friends,2010,y combinator,"Bob Tekiela, Hong Hu, Justin Yoshimura"
7-cups-of-tea@y combinator,7-cups-of-tea,2013,y combinator,Glen Moriarty
70-million-jobs@y combinator,70-million-jobs,2017,y combinator,Richard Bronson
955dreams@500startups,955dreams,2011,500startups,
99gamers@500startups,99gamers,2014,500startups,"Brandon Kruzeniski, Jon Kruzeniski"
aa-audience@500startups,aa-audience,2017,500startups,Vladimir Gurgov
abacus-2@y combinator,abacus-2,2014,y combinator,"Josh Halickman, Omar Qari, Ted Power"
abbeypost@500startups,abbeypost,2014,500startups,"Cynthia Schames, Lex Mustafin"
able-health@y combinator,able-health,2016,y combinator,"Rachel Katz, Steve Daniels"
abra@BoostVC,abra,2014,BoostVC,"Bill Barhydt, Pete Kelly"
accredible@ImagineK12,accredible,2013,ImagineK12,"Alan Heppenstall, Danny King"
acre-designs@y combinator,acre-designs,2016,y combinator,"Andrew Dickson, Jennifer Dickson"
active-scaler@TheAlchemistAccelerator,active-scaler,2012,TheAlchemistAccelerator,"Abhay Jain, Paul Gulati"
activityhero@500startups,activityhero,2012,500startups,"Peggy Chang, Shilpa Dalmia"
acuity-ai@TheAlchemistAccelerator,acuity-ai,2017,TheAlchemistAccelerator,"Charles Han, RaviKiran Gopalan"
acunote@y combinator,acunote,2011,y combinator,Gleb Arshinov
adenda-media@TheAlchemistAccelerator,adenda-media,2016,TheAlchemistAccelerator,Francis Doumet
ader@500startups,ader,2016,500startups,"Aiyanna Greene, Justin Warden, Sahil Chaturvedi"
adespresso@500startups,adespresso,2013,500startups,"Armando Biondi, Carlo Forghieri, Massimo Chieruzzi"
adgrok@y combinator,adgrok,2010,y combinator,"Antonio Garcia-Martinez, Argyris Zymnis, Matthew McEachen"
admitsee@ImagineK12,admitsee,2014,ImagineK12,"Lydia Fayal, Stephanie Shyu"
advano@y combinator,advano,2017,y combinator,"Alexander Girau, Shiva Adireddy"
adventure-bucket-list@500startups,adventure-bucket-list,2017,500startups,"Blake Pridham, Kevin Adams, Rita LeBlanc, ryan stobie"
aella-credit@y combinator,aella-credit,2017,y combinator,Akin Jones
aerofs@y combinator,aerofs,2010,y combinator,"Weihan Wang, Yuri Sagalov"
aerones@y combinator,aerones,2018,y combinator,"Dainis Kruze, Janis Putrams"
agfunder@500startups,agfunder,2015,500startups,"Melissa Tilney, Michael Dean, Rob Leclerc"
agilemd@y combinator,agilemd,2011,y combinator,"Borna Safabakhsh, Jonathan Lee, Kurt Ericson, Scott Freedman"
airbanq@NFX,airbanq,2016,NFX,"Chris Boas, Leonardo Shapiro"
airbnb@y combinator,airbnb,2009,y combinator,"Brian Chesky, Joe Gebbia, Nathan Blecharczyk"
