permalink+accelerator,permalink,cohort_year,accelerator,founders
kimkim@NFX,kimkim,2015,NFX,"Alex Buri, Benoit Zeler, Joost Schreve"
kimono@y combinator,kimono,2014,y combinator,"Pratap Ranade, Ryan Rowe"
kip-labs@y combinator,kip-labs,2016,y combinator,"Erin Frey, Ti Zhao"
kippt@y combinator,kippt,2012,y combinator,"Jori Lallo, Karri Saarinen"
kirkland-north@y combinator,kirkland-north,2008,y combinator,"Andrew Fong, Gabe Smedresman"
kitereaders@500startups,kitereaders,2013,500startups,"Aarti Parikh, Chintu Parikh"
kitterly@500startups,kitterly,2015,500startups,"Elizabeth Rowen, Mari Bower"
knowmia@y combinator,knowmia,2012,y combinator,Scott Kabat
kodable@ImagineK12,kodable,2013,ImagineK12,"Grechen Huebner, Jon Mattingly"
koemei@500startups,koemei,2013,500startups,"Evgeny Bogdanov, Linda Drabik, Temitope Ola"
kollecto@500startups,kollecto,2015,500startups,Tara Reed
kompyte@500startups,kompyte,2016,500startups,"Albert Colmenero, Pere Codina, Sergio Ramirez"
konolabs-inc-@500startups,konolabs-inc-,2015,500startups,"Jaehoon Choi, Jung-hee Ryu, YJ Min"
konsus@y combinator,konsus,2016,y combinator,"Fredrik Thomassen, Jing Kjeldsen, Sondre Rasch"
upsight@fbFund,upsight,2008,fbFund,
koofers@fbFund,koofers,2008,fbFund,"Dan Donahoe, Glynn LoPresti, Michael Rihani, Patrick Gartlan"
kudobuzz@500startups,kudobuzz,2015,500startups,"David Tetteh, Kena Amoah, Nii Larbie"
kuna-systems-corp@y combinator,kuna-systems-corp,2014,y combinator,"Haomiao Huang, Sai-Wai Fu"
kwik@NFX,kwik,2015,NFX,Ofer Klein
lab-sensor-solutions@500startups,lab-sensor-solutions,2015,500startups,"Daniel Paley, Geoff Zawolkow, Jarie Bolander"
labdoor@y combinator,labdoor,2015,y combinator,"Helton Souza, Neil Thanedar, Rafael Ferreira, Tercio Junker"
ladera-labs@TheAlchemistAccelerator,ladera-labs,2014,TheAlchemistAccelerator,"Dane Collins, Mark Williams"
lambda-school@y combinator,lambda-school,2017,y combinator,"Austen Allred, Ben Nelson"
lampix@Highway1,lampix,2016,Highway1,"George Popescu, Mihai Dumitrescu"
landed@y combinator,landed,2016,y combinator,"Alex Lofton, Jesse Vaughan, Jonathan Asmis"
lattice-2@y combinator,lattice-2,2016,y combinator,"Eric Koslow, Jack Altman"
launchbit@500startups,launchbit,2011,500startups,"Elizabeth Yin, Jennifer Chin"
launchgram@500startups,launchgram,2012,500startups,"Andy Sparks, Carrie Phillips, Zach Boerger"
launchhear@y combinator,launchhear,2010,y combinator,"Alex Krupp, Allan Young"
launchpad-toys@y combinator,launchpad-toys,2011,y combinator,"Andy Russell, Thushan Amarasiriwardena"
launchrock@500startups,launchrock,2011,500startups,"David Drager, Jameson Detweiler, Sean McCullough, Zachary Melamed"
launchtrack@500startups,launchtrack,2013,500startups,"David Clausen, Jonathan Cordeau"
lawdingo@y combinator,lawdingo,2013,y combinator,Nikhil Nirmel
lawn-love@y combinator,lawn-love,2014,y combinator,Jeremy Yamaguchi
lawnguru@500startups,lawnguru,2015,500startups,"Brandon Bertrang, Skye Durrant"
lawnmower@BoostVC,lawnmower,2015,BoostVC,"Alex Sunnarborg, Patrick Archambeau, Pieter Gorsira"
lawtrades@500startups,lawtrades,2015,500startups,"Ashish Walia, Raad Ahmed"
lawyaw@y combinator,lawyaw,2018,y combinator,"Tucker Cottingham, Vahed Qazvinian"
layer-by-layer@y combinator,layer-by-layer,2013,y combinator,"Jonathan Schwartz, Max Friedfeld, Oliver Ortlieb"
le-tote@y combinator,le-tote,2013,y combinator,"Brett Northart, Rakesh Tondon"
mobileworks@y combinator,mobileworks,2011,y combinator,"Anand Kulkarni, David Rolnitzky, Philipp Gutheim, Prayag Narula"
leaky@y combinator,leaky,2011,y combinator,"Darren Nix, Geoffry Sumter, Jake Piccolo, Jason Traff"
leanmarket@y combinator,leanmarket,2012,y combinator,Cyrus Lohrasbpour
leap@y combinator,leap,2018,y combinator,Cadran Cowansage
leaplife@NFX,leaplife,2016,NFX,"Nir Yeffet, Rona Elbaz, Tom Patterson"
leapcure@500startups,leapcure,2016,500startups,Luis De Avila
learningjar@ImagineK12,learningjar,2012,ImagineK12,
learnsprout@ImagineK12,learnsprout,2012,ImagineK12,"Anthony Wu, Franklyn Chien, Joe Woo"
ledger-investing@y combinator,ledger-investing,2017,y combinator,"Aymeric Rabot, Julien Brissonneau, Samir Shah"
legalist@y combinator,legalist,2016,y combinator,"Christian Haigh, Eva Shang"
lenda@500startups,lenda,2014,500startups,"Chris Piro, Elijah Murray, Jason van den Brand"
shoptutors@y combinator,shoptutors,2016,y combinator,"Matt Lenhard, Nate Matherson"
lendsquare@500startups,lendsquare,2014,500startups,"Jose Valdes, Sebastian Villarreal"
lendup@y combinator,lendup,2012,y combinator,"Jacob Rosenberg, Sasha Orloff"
leon-george@y combinator,leon-george,2017,y combinator,"Nicolas Bartoli, Ron Radu"
level-5@y combinator,level-5,2015,y combinator,"Damian Sowers, Josh Hubball"
level-therapy-general@500startups,level-therapy-general,2016,500startups,"Coley Williams, Dan Miller"
lever@y combinator,lever,2012,y combinator,"Nate Smith, Randal Truong, Sarah Nahm"
life-bot@y combinator,life-bot,2017,y combinator,
life360@fbFund,life360,2009,fbFund,"Alex Haro, Chris Hulls"
liftigniter@y combinator,liftigniter,2014,y combinator,"Adam Spector, Indraneel Mukherjee"
lightboxvr@TheAlchemistAccelerator,lightboxvr,2017,TheAlchemistAccelerator,
lighttable@y combinator,lighttable,2012,y combinator,"Chris Granger, Robert Attorri"
likebetter-com@y combinator,likebetter-com,2006,y combinator,Bryan Kennedy
lingt@y combinator,lingt,2009,y combinator,"Chris Varenhorst, Justin Cannon"
linguatrip@500startups,linguatrip,2015,500startups,"Dmitry Kravchuk, Dmitry Pistolyako, Marina Mogilko"
liquidspace@NFX,liquidspace,2015,NFX,"Doug Marinaro, Mark Gilbreath"
lish@500startups,lish,2015,500startups,"Aakhil Fardeen, Mark Piper"
listenloop@BoostVC,listenloop,2013,BoostVC,"Rodrigo Fuentes, Sandeep Arneja"
listia@y combinator,listia,2009,y combinator,"Gee Chuang, James Fong"
listrunner@y combinator,listrunner,2014,y combinator,"Dominic Savoie, Jeeshan Chowdhury, Trevor Chan"
litmus-automation@TheAlchemistAccelerator,litmus-automation,2014,TheAlchemistAccelerator,"John Younes, Sacha Sawaya, Vatsal Shah"
littlefund@500startups,littlefund,2017,500startups,"Isaac Dressman, Mimi Chan"
livecanary@500startups,livecanary,2016,500startups,
greatcall@y combinator,greatcall,2017,y combinator,"Alex Cyriac, Shobin Uralil"
lob@y combinator,lob,2013,y combinator,"Harry Zhang, Leore Avidar"
localon@y combinator,localon,2013,y combinator,"David Tolioupov, Shahbano Imran"
locent@y combinator,locent,2016,y combinator,"Chris Ishida, Matt Joseph"
logdna@y combinator,logdna,2015,y combinator,"Chris Nguyen, Lee Liu"
lollipuff@y combinator,lollipuff,2013,y combinator,"David Mohs, Fei Deyle, Travis Deyle"
lookacross@500startups,lookacross,2011,500startups,"Meetul Shah, Shawn Lee"
looklive@y combinator,looklive,2016,y combinator,"Chidiebere Kalu, Christopher Archer, Gerbert Kaandorp, Greg Selkoe, Scooter Taylor"
loom-dropbox@y combinator,loom-dropbox,2012,y combinator,"Kiran Bhat, Mahesh Ramasubramanian"
loop-genomics@y combinator,loop-genomics,2016,y combinator,Tuval Ben Yehezkel
loop-support@y combinator,loop-support,2017,y combinator,"Dean Yim, Paul Gut"
loopt@y combinator,loopt,2005,y combinator,"Alok Deshpande, Nick Sivo, Sam Altman"
lotterydotcom@500startups,lotterydotcom,2015,500startups,"Matt Clemenson, Tony DiMatteo"
love-with-food@500startups,love-with-food,2011,500startups,Aihui Ong
lugg@y combinator,lugg,2015,y combinator,"Eric Kreutzer, Jordan Brown"
lully@y combinator,lully,2015,y combinator,"Andy Rink, Varun Boriah"
lumi@y combinator,lumi,2015,y combinator,"Jesse Genet, Stephan Ango"
luminist@y combinator,luminist,2016,y combinator,"Samantha Friedman, Storm Stillman, Will Olsen"
luminostics-inc@y combinator,luminostics-inc,2016,y combinator,"Andrew Paterson, Bala Raja"
lumo-781c@Highway1,lumo-781c,2014,Highway1,Bala Chandran
lumoid@y combinator,lumoid,2013,y combinator,Eric Schoonover
lvl5@y combinator,lvl5,2017,y combinator,"Andrew Kouri, George Tall"
lvl6@y combinator,lvl6,2012,y combinator,Alex Lin
lygos@y combinator,lygos,2016,y combinator,"Eric Steen, Jay Keasling, Jeffrey Dietrich"
machine-zone@y combinator,machine-zone,2008,y combinator,"Gabriel Leydon, Halbert Nakagawa, Michael Sherrill"
macromoltek-inc@y combinator,macromoltek-inc,2018,y combinator,"Monica Berrondo, Susana Kaufmann"
maderight@y combinator,maderight,2015,y combinator,"Jason Tsai, Kent Mori, Kevin Chan"
madesolid@y combinator,madesolid,2014,y combinator,"Brian Martinez, David Rorex, Lance Pickens"
maestroconference@500startups,maestroconference,2016,500startups,Brian Burt
magic@y combinator,magic,2015,y combinator,"Aaron Kemmer, Benjamin Godlove, David Merriman, Michael Rubin, Mike Chen, Nic Novak"
magic-instruments@y combinator,magic-instruments,2016,y combinator,"Andrew Song, Brian Fan, Mark Liebman"
magic-bus@y combinator,magic-bus,2016,y combinator,"Chris Upjohn, Jason Kraft, Ray Wu"
mahmee@500startups,mahmee,2015,500startups,Melissa Hanna
mailgun@y combinator,mailgun,2011,y combinator,"Ev Kontsevoy, Taylor Wakefield"
maillift@500startups,maillift,2013,500startups,"Brian Curliss, Daniel Jurek, Nikki Rostollan"
mailtime@y combinator,mailtime,2016,y combinator,"Charlie Sheng, Gary Lau, Heatherm Huang"
MakeSchool@y combinator,MakeSchool,2012,y combinator,"Ashu Desai, Jeremy Rossmann"
mapjam@500startups,mapjam,2015,500startups,"Huw Griffiths, Jack Gonzalez, Scollay Petry"
markerly@500startups,markerly,2012,500startups,"Justin Kline, Rahf Noor, Sarah Ware"
marketbrief@y combinator,marketbrief,2011,y combinator,"Chris Auer, Jason Zucchetto, Michael Shafrir"
marketfox@y combinator,marketfox,2017,y combinator,"Mohammed Aboobacker, Sojan V Jose, Sony Mathew, Sooraj Chandran"
markhor@y combinator,markhor,2015,y combinator,"Sidra Qasim, Waqas Ali"
mars-reel@500startups,mars-reel,2016,500startups,"Bradley Deyo, Brandon Deyo"
mashgin@y combinator,mashgin,2015,y combinator,"Abhinai Srivastava, Mukul Dhankhar"
mashvisor@500startups,mashvisor,2016,500startups,"Mohammed Jebrini, Peter Abualzolof"
mason@y combinator,mason,2016,y combinator,Jim Xiao
materialist@NFX,materialist,2016,NFX,Matt Grigsby
mathchat@ImagineK12,mathchat,2014,ImagineK12,"Kostub Deshmukh, Sam Woodard"
voxli@y combinator,voxli,2009,y combinator,Joey Liaw
mattermark@y combinator,mattermark,2012,y combinator,"Andy Sparks, Danielle Morrill, Kevin Morrill"
matterport@y combinator,matterport,2012,y combinator,"Dave Gausebeck, Matt Bell, Mike Beebe"
mavin@TheAlchemistAccelerator,mavin,2014,TheAlchemistAccelerator,"Raina Kumra, Shailesh Nalawadi"
may-mobility@y combinator,may-mobility,2017,y combinator,"Alisyn Malek, Edwin Olson, Steve Vozar"
mayvenn@500startups,mayvenn,2013,500startups,"Diishan Imira, Taylor Wang"
mdalgorithms@y combinator,mdalgorithms,2017,y combinator,"Oded Harth, Yoram Harth"
meadow@y combinator,meadow,2015,y combinator,"David Hua, Harrison Lee, Rick Harrison, Scott Garman"
medigram@y combinator,medigram,2012,y combinator,"Bradford Toney, Michael Chiu, Yuhao Ding"
medisas@y combinator,medisas,2013,y combinator,Dr. Gautam Sivakumar
medumo-2@y combinator,medumo-2,2018,y combinator,"Adeel Yang, Jacob Cohen, Nasser Al-Sulaihim, Omar Badri, Robert Stavert"
medxt@y combinator,medxt,2013,y combinator,"Cody Ebberson, Reshma Khilnani"
meetingbird@y combinator,meetingbird,2017,y combinator,"Henry Dornier, Paul Dornier"
meetings-io@y combinator,meetings-io,2010,y combinator,"Arend Naylor, Denis Mars"
livesift@TheAlchemistAccelerator,livesift,2016,TheAlchemistAccelerator,"Aaron Rosa, Alex Bergo, PhD, Viil Lid, PhD"
meldium@y combinator,meldium,2013,y combinator,"Anton Vaynshtok, Boris Jabes, Bradley Buda"
memebox@y combinator,memebox,2014,y combinator,"Doin Kim, Hyungseok Dino Ha"
memetales@500startups,memetales,2011,500startups,Maya Bisineer
memora-health@y combinator,memora-health,2018,y combinator,"Kunaal Naik, Manav Sevak, Nisarg Patel"
memsql@y combinator,memsql,2011,y combinator,"Adam Prout, Eric Frenkiel, Nikita Shamgunov"
mentat-llc@y combinator,mentat-llc,2016,y combinator,"Frank Yang, Saad Rizvi, Zaid Mansoor"
mentorcloud@500startups,mentorcloud,2015,500startups,"Rajesh Setty, Ravishankar Gundlapalli"
mere-coffee@y combinator,mere-coffee,2017,y combinator,"Gregory Kress, Scott Steber"
merlin-2@NFX,merlin-2,2015,NFX,Jude Samuski
six-times-seven@y combinator,six-times-seven,2010,y combinator,"Mehul Shah, Rajiv Bhat, Vijay Chittoor"
messageparty@y combinator,messageparty,2010,y combinator,"Jason Gavris, Sean Ahrens"
meta-view@y combinator,meta-view,2013,y combinator,"Ben Sand, Meron Gribetz, Raymond Lo"
metapacket@y combinator,metapacket,2016,y combinator,"Itamar Gilad, Nir Krakowski"
meterfeeder@y combinator,meterfeeder,2016,y combinator,"Daniel Lopretto, James Gibbs"
microeval@y combinator,microeval,2012,y combinator,"Ernie Park, Sam O'Keefe"
microhealth@y combinator,microhealth,2015,y combinator,"Javier Gonzalo, Marc Lara, Miguel Lara"
mightyhive@TheAlchemistAccelerator,mightyhive,2013,TheAlchemistAccelerator,"Antony Chen, Christopher Martin, Jeremy Baker (Hubert), Lexi Viripaeff"
mightyquiz@y combinator,mightyquiz,2008,y combinator,
mimir@y combinator,mimir,2015,y combinator,"Colton Voege, Jacobi Petrucciani, Prahasith Veluvolu"
mindori@y combinator,mindori,2016,y combinator,"Awni Hannun, Chris Lengerich"
minefold@y combinator,minefold,2012,y combinator,
mineralsoft@y combinator,mineralsoft,2016,y combinator,"Gabe Wilcox, Jon Parker"
minomonsters@y combinator,minomonsters,2011,y combinator,"Josh Buckley, TJ Murphy"
mirror-ai@y combinator,mirror-ai,2018,y combinator,"Evgeny Kuryshev, Serge Faguet"
mission-100-@ImagineK12,mission-100-,2014,ImagineK12,Janice Smith
missionmark@NFX,missionmark,2016,NFX,"Kasey McCurdy, Travis Russi"
misterbnb@500startups,misterbnb,2015,500startups,"Chris Sinton, Marc Dedonder, Matthieu JOST"
mixerbox-inc@y combinator,mixerbox-inc,2014,y combinator,John Lai
mixpanel@y combinator,mixpanel,2009,y combinator,"Suhail Doshi, Tim Trefren"
mixrank@y combinator,mixrank,2011,y combinator,"Ilya Lichtenstein, Scott Milliken"
mobagel@500startups,mobagel,2015,500startups,"Adms Chung, Iru Wang, Ken Lin"
mobile-enerlytics-llc@TheAlchemistAccelerator,mobile-enerlytics-llc,2015,TheAlchemistAccelerator,"Abhilash Jindal, Charlie Hu"
mobilespan@TheAlchemistAccelerator,mobilespan,2012,TheAlchemistAccelerator,Nils Bunger
modbot@Highway1,modbot,2014,Highway1,"Adam Ellison, Daniel Pizzata"
modern-health@y combinator,modern-health,2018,y combinator,"Alyson Friedensohn, Erica T. Johnson"
modify@NFX,modify,2015,NFX,Aaron Schwartz
mohound@TheAlchemistAccelerator,mohound,2013,TheAlchemistAccelerator,Carlos Mondragon
mojilala@500startups,mojilala,2016,500startups,"Dana Loberg, Sahin Boydas"
moki-tv@y combinator,moki-tv,2011,y combinator,
molly@y combinator,molly,2018,y combinator,"Chris Messina, Esther Crawford, Ethan Sutin"
moltin@y combinator,moltin,2015,y combinator,"Adam Sturrock, Chris Harvey, Chris Roach, Jamie Holdroyd"
mommazoo@ImagineK12,mommazoo,2013,ImagineK12,"Catheryne Nicholson, Matthieu Riou"
monetsu@500startups,monetsu,2014,500startups,"Clayten Hamacher, Dmytro Dvynyaninov, Neeraj Murarka, Robert David"
moneytis@y combinator,moneytis,2017,y combinator,"Christophe Lassuyt, Etienne Tatur"
monkeylearn@500startups,monkeylearn,2015,500startups,"Ernesto Rodriguez, Federico Pascual, MartÁ©©n Alcal??RubÁ©? Raul Garreta"
monogram@500startups,monogram,2012,500startups,"Josh Chen, Kristen Slowe, Leo Chen"
monthli@y combinator,monthli,2016,y combinator,"Alex Burton, Darrick Brown, Shane Dosch"
mopix@500startups,mopix,2011,500startups,"Drew McAuliffe, Jeremy Krall, Ryan Stoner"
mosa-mack-science-inc@ImagineK12,mosa-mack-science-inc,2014,ImagineK12,
moti@Highway1,moti,2015,Highway1,"Kayla Matheus, Laura Day"
mountary@500startups,mountary,2014,500startups,"Hans Gill, Neil Ayton"
movebutter@y combinator,movebutter,2017,y combinator,"Chai Mishra, Sebastian Werz"
move-loot@y combinator,move-loot,2014,y combinator,"Bill Bobbitt, Jenny Karin Morrill, Ryan Smith, Shruti Shah"
moveha@500startups,moveha,2015,500startups,Jing Zhang
movity-com@y combinator,movity-com,2010,y combinator,"Eric Wu, Sha Hwang, Vaughn Koch"
mrelief@y combinator,mrelief,2016,y combinator,"Genevieve Nielsen, Marina Goldshteyn, Rose Afriyie"
netomi@y combinator,netomi,2016,y combinator,Puneet Mehta
mtailor@y combinator,mtailor,2014,y combinator,"Miles Penn, Rafi Witten"
mth-sense@y combinator,mth-sense,2012,y combinator,Mandar Agte
mudflap@NFX,mudflap,2016,NFX,
multiply-labs@y combinator,multiply-labs,2016,y combinator,"Alice Melocchi, Fred Parietti, Joe Wilson, Tiffany Kuo"
mux-2@y combinator,mux-2,2016,y combinator,"Adam Brown, Jon Dahl, Matt McClure, Steve Heffernan"
my90@TheAlchemistAccelerator,my90,2018,TheAlchemistAccelerator,"Kona Shen, Mustafa Abdul-Hamid"
mycroft-ai-inc@500startups,mycroft-ai-inc,2017,500startups,"Joshua Montgomery, Kris Adair, Ryan Sipes, Steve Penrod"
mycrophone@TheAlchemistAccelerator,mycrophone,2017,TheAlchemistAccelerator,"Andrew Livingston, Ken Sherman, Rico Huber, Uwe Kummerow"
myfavorito@500startups,myfavorito,2016,500startups,"Dirk Schlenzig, Mark Schlenzig"
mystery-org@y combinator,mystery-org,2017,y combinator,"Doug Peltz, Keith Schacht"
mystro@y combinator,mystro,2017,y combinator,"Dwayne Shaw, Herb Coakley, Matthew Rajcok"
mysycamore@y combinator,mysycamore,2017,y combinator,Goutham Buchi
mytips@500startups,mytips,2014,500startups,"Bogdan Suchyk, Igor Pashinnik, Roman Zadyrako"
myvr@y combinator,myvr,2012,y combinator,"Jonathan Murray, Markus A. Nordvik, Mike Stachowiak"
nanonets@y combinator,nanonets,2017,y combinator,"Prathamesh Juvatkar, Sarthak Jain"
natero@y combinator,natero,2012,y combinator,"Craig Soules, Garth Goodson, Tanya Shastri"
native-tap@500startups,native-tap,2014,500startups,"Marcin Gasperowicz, Nina Wieczorek"
naytev@y combinator,naytev,2014,y combinator,"ET Ridgely, Michael Seid, Patrick Costello, Zack Liscio"
nebia@y combinator,nebia,2015,y combinator,"Carlos Gomez Andonaegui, Gabriel Parisi-Amon, Philip Winter"
neema@y combinator,neema,2017,y combinator,Barak Ben-Ezer
neighborly@500startups,neighborly,2014,500startups,"Jase Wilson, Patrick Hosty"
neoreach@TheAlchemistAccelerator,neoreach,2014,TheAlchemistAccelerator,"Jesse Leimgruber, Misha Talavera, P.J. Leimgruber"
neptune-io@y combinator,neptune-io,2014,y combinator,"Kiran Gollu, Satish Talluri"
net30@y combinator,net30,2017,y combinator,"Anthony Cirinelli, Casey Bell"
netbeez@y combinator,netbeez,2016,y combinator,"Panickos Neophytou, Panos Vouzis, Stefano Gridelli"
netifi@TheAlchemistAccelerator,netifi,2017,TheAlchemistAccelerator,"Greg Whitaker, Robert Roeser, Ryland Degnan"
neura-2@UpwestLabs,neura-2,2013,UpwestLabs,"Gilad Meiri, Ori Shaashua, Triinu Magi"
neuroware@500startups,neuroware,2014,500startups,"Adam Giles, Johnny Mayo, Mark Smalley"
new-incentives@y combinator,new-incentives,2016,y combinator,"Patrick Stadler, Pratyush Agarwal, Svetha Janumpalli"
new-story-charity@y combinator,new-story-charity,2015,y combinator,"Alexandria Lafci, Brett Hagler, Matthew Marshall, Michael Arrieta"
newsblur@y combinator,newsblur,2012,y combinator,Samuel Clay
newsbrane@fbFund,newsbrane,2008,fbFund,
nexgent-inc@y combinator,nexgent-inc,2018,y combinator,"Jacob Hess, Terry Kim"
nexi-2@Highway1,nexi-2,2015,Highway1,
next-caller@y combinator,next-caller,2014,y combinator,"Gianni Martire, Ian Roncoroni"
nexttech@ImagineK12,nexttech,2015,ImagineK12,Saul Costa
nextinput@TheAlchemistAccelerator,nextinput,2013,TheAlchemistAccelerator,"Ali Foughi, Ian Campbell, Ryan Diestelhorst"
nextravel@y combinator,nextravel,2015,y combinator,Wen-Wen Lam
nfware@TheAlchemistAccelerator,nfware,2017,TheAlchemistAccelerator,Alexander Britkin
nightingale@y combinator,nightingale,2014,y combinator,"Delian Asparouhov, Eric Bakan"
niles-ai@y combinator,niles-ai,2017,y combinator,Mack Lu
nimble-2@y combinator,nimble-2,2017,y combinator,"Jill Greenberg, Lauren Dachille, Rebecca Odim"
ninite@y combinator,ninite,2008,y combinator,"Patrick Swieskowski, Sascha Kuzins"
nitrocam@TheAlchemistAccelerator,nitrocam,2015,TheAlchemistAccelerator,"Fahd Gilani, Sayed Fayyaz Hussain"
nobex-technologies@NFX,nobex-technologies,2016,NFX,Gadi Mazor
nodal-adf2@500startups,nodal-adf2,2015,500startups,
nomiku@y combinator,nomiku,2015,y combinator,"Abe Fetterman, Lisa Fetterman, Wipop Suppipat"
nonnatech@500startups,nonnatech,2016,500startups,Gary German
noora-health@y combinator,noora-health,2014,y combinator,"Edith Elliott, Jessie Liu, Katy Ashe, Shahed Alam"
noredink@ImagineK12,noredink,2012,ImagineK12,Jeff Scheur
notable-labs-2@y combinator,notable-labs-2,2015,y combinator,"Matt De Silva, Pete Quinzio"
noteleaf@y combinator,noteleaf,2011,y combinator,Wil Chung
nova@y combinator,nova,2016,y combinator,"Bryan Pirtle, William Dinkel"
nova-credit@y combinator,nova-credit,2016,y combinator,"Loek Janssen, Misha Esipov, Nicky Goulimis"
nowbox@y combinator,nowbox,2010,y combinator,"David Kelso, James Black, Thomas Pun"
ntensify@500startups,ntensify,2015,500startups,
nucypher@y combinator,nucypher,2016,y combinator,"MacLane Wilkison, Michael Egorov"
numina@500startups,numina,2017,500startups,"Martin McGreal, Tara Pham"
nuntio-labs@TheAlchemistAccelerator,nuntio-labs,2017,TheAlchemistAccelerator,"Elena Ikonomovska, Shyamal Patel"
nurseversity@500startups,nurseversity,2016,500startups,"Jodi Leonard, Paolo Alejandro Catilo, Tony Leonard"
nurx@y combinator,nurx,2016,y combinator,"Edvard EngesÏ±àth, Hans Gangeskar"
nutrigene-ltd@y combinator,nutrigene-ltd,2018,y combinator,"Min FitzGerald, Van Duesterberg"
nutshellmail@fbFund,nutshellmail,2009,fbFund,"David Lyman, Mark Schmulen"
obiesoft@500startups,obiesoft,2017,500startups,"Alexander Sopinka, Chris Buttenham, Ravinda Seunath"
observe-ai@y combinator,observe-ai,2018,y combinator,"Akash Singh, Sharath Keshava Narayana, Swapnil Jain"
octopart@y combinator,octopart,2007,y combinator,"Andres Morey, Harish Agarwal, Sam Wurzel"
octopus@NFX,octopus,2016,NFX,Andre Lutter
offscale@UpwestLabs,offscale,2012,UpwestLabs,"Amir Taichman, Omer Gertel"
garten@y combinator,garten,2016,y combinator,Michael Heinrich
ohlife@y combinator,ohlife,2008,y combinator,Shawn Gupta
Oklo@y combinator,Oklo,2014,y combinator,"Caroline Cochran, Jacob DeWitte"
olark@y combinator,olark,2009,y combinator,"Ben Congleton, Matthew Pizzimenti, Roland Osborne, Zach Steindler"
olset@500startups,olset,2013,500startups,"Amyn Sheriff, Gadi Bashvitz"
omgpop@y combinator,omgpop,2006,y combinator,Charles Forman
omniref@y combinator,omniref,2015,y combinator,"Montana Low, Tim Robertson"
omnisio@y combinator,omnisio,2008,y combinator,"Julian Frumar, Ryan Junee, Simon Ratner"
adsoptimal-social-nation-inc@y combinator,adsoptimal-social-nation-inc,2012,y combinator,"Brad Phaisan, Michael Rucker"
oncobox@y combinator,oncobox,2017,y combinator,"Andrew Garazha, Anton Buzdin"
ondigo@UpwestLabs,ondigo,2013,UpwestLabs,"Dor Shemer, Nir Keren, Ohad Oren, Yoni Dariel"
one-codex@y combinator,one-codex,2014,y combinator,Nick Greenfield
one-one-degree@y combinator,one-one-degree,2014,y combinator,Rey Faustino
the-one-health-company@y combinator,the-one-health-company,2018,y combinator,"Benjamin Lewis, Christina Kelly Lopes, Franca Angeli Brownstein, Jonathan Lustgarten, Ravi Tolwani"
one-month-rails@y combinator,one-month-rails,2013,y combinator,"Chris Castiglione, Mattan Griffel"
one-chronos@y combinator,one-chronos,2016,y combinator,"Kelly Littlepage, Stephen Johnson"
onekloud-2@500startups,onekloud-2,2016,500startups,"Eric Didier, Xavier Garcia"
onemob@TheAlchemistAccelerator,onemob,2014,TheAlchemistAccelerator,"Nimesh Gupta, Sati Hillyer"
oneschool@500startups,oneschool,2011,500startups,"David Adewumi, Zach Johnston"
one-signal@y combinator,one-signal,2011,y combinator,George Deglin
onfarm@500startups,onfarm,2016,500startups,Lance Donny
open-listings@y combinator,open-listings,2015,y combinator,"Alexander Farrill, Judd Schoenholtz, Peter Sugihara"
osvehicle@y combinator,osvehicle,2016,y combinator,"Tin Hang Liu, Yuki Liu"
openbike@Highway1,openbike,2016,Highway1,"Kyle Manna, Randall R. Jacobs"
opencurriculum@y combinator,opencurriculum,2014,y combinator,Varun Arora
opendoor-3@500startups,opendoor-3,2016,500startups,"Ben Provan, Jay Standish"
opendoor-2@500startups,opendoor-2,2016,500startups,"Eric Wu, Ian Wong, Justin Ross, Keith Rabois"
openinvest@y combinator,openinvest,2015,y combinator,"Conor Murray, Joshua Levin, Phillip Wei"
openland@y combinator,openland,2018,y combinator,"Steve Korshakov, Yury Lifshits"
opensea@y combinator,opensea,2018,y combinator,"Alex Atallah, Devin Finzer"
opensponsorship@500startups,opensponsorship,2016,500startups,"Ishveen Anand, Nick van der Meulen"
opentrons@y combinator,opentrons,2016,y combinator,"Chiu Chau, Nicholas Wagner, Will Canine"
opez@y combinator,opez,2011,y combinator,Chris Tam
opsolutely@y combinator,opsolutely,2016,y combinator,"Jack Danger Canty, Kate Heddleston, Rachel Myers"
optimizely@y combinator,optimizely,2010,y combinator,"Dan Siroker, Pete Koomen"
alta5@500startups,alta5,2017,500startups,"Adam Mishcon, Jack Slocum, Marshall Clark, Rocco Savage, Rocco Savage"
opzi@y combinator,opzi,2010,y combinator,
orangewood-labs-inc@y combinator,orangewood-labs-inc,2018,y combinator,"Abhinav Das, Aditya Bhatia"
orankl@y combinator,orankl,2014,y combinator,"JoÏ∞æo Batalha, Luis Batalha, Micael Oliveira"
orderahead@y combinator,orderahead,2011,y combinator,"Henry Lee, Jeffrey Byun"
ordercircle@500startups,ordercircle,2016,500startups,
orderly-health@500startups,orderly-health,2017,500startups,"James Dickhoner, Kevin Krauth"
ourhealthmate@500startups,ourhealthmate,2017,500startups,"Abhinav Krishna, Akash Kumar, Ayush Bharti, Sanjay Havaldar"
conversationdriver@y combinator,conversationdriver,2015,y combinator,"Dhruvkaran Mehta, Josh Weissburg"
outdoorsy-co@NFX,outdoorsy-co,2015,NFX,"Jeff Cavins, Jennifer Young, Ryan Quinn, Tyler Bunnell"
